,Data,Tipo da uva,Nome da uva,Kilogramas
365,2011-01-01,BRANCAS E ROSADAS,Colombard,445104
366,2011-01-01,BRANCAS E ROSADAS,Flora,37620
367,2011-01-01,BRANCAS E ROSADAS,Gewurztraminer,206833
368,2011-01-01,BRANCAS E ROSADAS,Gros Manseng,7220
369,2011-01-01,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),6405
370,2011-01-01,BRANCAS E ROSADAS,Malvasia Amarela,107015
371,2011-01-01,BRANCAS E ROSADAS,Malvasia Bianca,138608
372,2011-01-01,BRANCAS E ROSADAS,Malvasia Verde,60776
373,2011-01-01,BRANCAS E ROSADAS,Malvasia di Candia,1727224
374,2011-01-01,BRANCAS E ROSADAS,Moscato Branco,16871284
375,2011-01-01,BRANCAS E ROSADAS,Moscato Canelli,92887
376,2011-01-01,BRANCAS E ROSADAS,Moscato Giallo,1949920
377,2011-01-01,BRANCAS E ROSADAS,Moscato Nazareno,882104
378,2011-01-01,BRANCAS E ROSADAS,Moscato Bianco R2,808748
379,2011-01-01,BRANCAS E ROSADAS,Moscato de Alexandria,105384
380,2011-01-01,BRANCAS E ROSADAS,Moscato Rosado,7617
381,2011-01-01,BRANCAS E ROSADAS,Peverella,64218
382,2011-01-01,BRANCAS E ROSADAS,Pinot Blanc,26307
383,2011-01-01,BRANCAS E ROSADAS,Pinot Gris,158788
384,2011-01-01,BRANCAS E ROSADAS,Prosecco,2720048
385,2011-01-01,BRANCAS E ROSADAS,Riesling Italico,2618429
386,2011-01-01,BRANCAS E ROSADAS,Riesling Renano,125166
387,2011-01-01,BRANCAS E ROSADAS,Sauvignon Blanc(2),612060
388,2011-01-01,BRANCAS E ROSADAS,Sauvignon Gris,8513
389,2011-01-01,BRANCAS E ROSADAS,Semillon,312204
390,2011-01-01,BRANCAS E ROSADAS,Schonburger,14538
391,2011-01-01,BRANCAS E ROSADAS,Sylvaner,1435
392,2011-01-01,BRANCAS E ROSADAS,Trebbiano,2439317
393,2011-01-01,BRANCAS E ROSADAS,Verdelho,12420
394,2011-01-01,BRANCAS E ROSADAS,Vermentino,5480
